scene_id,im_id,obj_id,score,R,t,time
1,0,1,1.0,-0.9942820072174072 -0.1051570475101471 -0.018583135679364204 -0.036547351628541946 0.4986104965209961 -0.866055428981781 0.10033757984638214 -0.8604242205619812 -0.49960261583328247,-266.0609185695648 -134.4739943742752 461.1901640892029,-1
1,0,3,1.0,0.933425784111023 0.3323136866092682 -0.13521739840507507 -0.23275047540664673 0.8477166295051575 0.4766586124897003 0.2730262279510498 -0.4134535491466522 0.8686269521713257,-52.22160369157791 -97.09402918815613 393.1936025619507,-1
1,0,6,1.0,-0.7836097478866577 -0.587481677532196 0.20204275846481323 -0.17602774500846863 -0.10192954540252686 -0.9790937304496765 0.5957937240600586 -0.802792489528656 -0.02354009449481964,-99.04402494430542 -144.24221217632294 630.656361579895,-1
1,0,8,1.0,-0.37403640151023865 -0.4301731586456299 0.8216128349304199 0.4146308898925781 -0.8700132369995117 -0.26675495505332947 0.8295650482177734 0.2408900409936905 0.5037797093391418,-221.9202071428299 -113.97702991962433 547.5794076919556,-1
1,2,1,1.0,-0.9854351282119751 -0.16769647598266602 -0.028207097202539444 -0.05965796485543251 0.4962533712387085 -0.8661257028579712 0.15924407541751862 -0.8518277406692505 -0.4990299344062805,-267.10909605026245 -135.92736423015594 465.66241979599,-1
1,2,3,1.0,-0.702846884727478 -0.67210453748703 0.2329844832420349 -0.21229711174964905 -0.11441005766391754 -0.9704846143722534 0.6789228916168213 -0.7315639853477478 -0.06227308511734009,-90.27991443872452 -124.64843690395355 578.9275765419006,-1
1,2,6,1.0,0.9336106777191162 0.3322821855545044 -0.1340135931968689 -0.23316648602485657 0.847466230392456 0.4769008159637451 0.2720376253128052 -0.4139922261238098 0.8686806559562683,-52.07756161689758 -97.71018475294113 393.4546113014221,-1
1,2,8,1.0,-0.371333509683609 -0.42858684062957764 0.8236653804779053 0.41332772374153137 -0.8706515431404114 -0.2666948735713959 0.8314275145530701 0.2414110004901886 0.5004488825798035,-221.58901393413544 -114.50055986642838 546.7999577522278,-1
1,4,1,1.0,-0.9889029264450073 -0.14142239093780518 -0.0455038920044899 -0.0314822718501091 0.4988262951374054 -0.866129994392395 0.14518873393535614 -0.8550859689712524 -0.49774304032325745,-268.56017112731934 -135.83208620548248 465.5663073062897,-1
1,4,3,1.0,-0.6987670660018921 -0.6799383759498596 0.2222803384065628 -0.21789135038852692 -0.09366009384393692 -0.9714686274528503 0.6813575625419617 -0.7272631525993347 -0.08270610123872757,-89.59680050611496 -124.98850375413895 578.564465045929,-1
