scene_id,im_id,obj_id,score,R,t,time
1,0,1,1.0,-0.3037944734096527 -0.9408193230628967 0.15022628009319305 0.11041766405105591 0.12184815108776093 0.9863878488540649 -0.9463175535202026 0.3162468373775482 0.06686627119779587,-242.12759733200073 -129.05606627464294 424.79953169822693,-1
1,0,3,1.0,0.9321998953819275 0.3353416919708252 -0.13619562983512878 -0.23210829496383667 0.8425949811935425 0.4859623610973358 0.27772122621536255 -0.42140188813209534 0.8633025884628296,-51.077816635370255 -96.42105549573898 393.775075674057,-1
1,0,6,1.0,-0.9537473320960999 -0.21971090137958527 0.20516589283943176 -0.2058485895395279 -0.020037010312080383 -0.9783786535263062 0.21907132863998413 -0.9753592610359192 -0.026116982102394104,-108.5032969713211 -170.64398527145386 703.7466168403625,-1
1,0,8,1.0,0.3282191753387451 0.36717939376831055 0.8703168034553528 -0.3867243826389313 0.892837405204773 -0.23083673417568207 -0.8618099689483643 -0.26080769300460815 0.4350435733795166,-231.76392912864685 -147.62520790100098 545.6271767616272,-1
1,2,1,1.0,0.63662189245224 -0.7077915668487549 -0.3061757981777191 -0.20093481242656708 0.23106853663921356 -0.951962411403656 0.7445386648178101 0.6675615310668945 0.004883341491222382,-245.0494021177292 -140.37208259105682 447.4112391471863,-1
1,2,3,1.0,0.9373378753662109 0.31634241342544556 -0.14603088796138763 -0.18742066621780396 0.8111038208007812 0.5540614724159241 0.29371941089630127 -0.4919736385345459 0.8195675611495972,-50.22207647562027 -98.02687168121338 393.02170276641846,-1
1,2,6,1.0,-0.9822666645050049 -0.019645042717456818 0.18645721673965454 -0.1874535232782364 0.08348613232374191 -0.9787192344665527 0.0036603957414627075 -0.9963153600692749 -0.08568818867206573,-109.63733494281769 -172.28665947914124 701.3705372810364,-1
1,2,8,1.0,-0.37985149025917053 -0.44026774168014526 0.8135582804679871 0.4090489149093628 -0.8687635660171509 -0.27915725111961365 0.8296938538551331 0.2267468422651291 0.5100922584533691,-213.0911946296692 -109.22408103942871 525.3704786300659,-1
1,4,1,1.0,0.9325732588768005 0.3202500343322754 -0.16657423973083496 -0.1794501096010208 0.8116812705993652 0.5558517575263977 0.3132167458534241 -0.4884807765483856 0.8144211173057556,-51.34245008230209 -100.5374863743782 405.56854009628296,-1
1,4,3,1.0,-0.9824573397636414 -0.17890456318855286 -0.05263877660036087 -0.043848179280757904 0.49595907330513 -0.8672382235527039 0.18125952780246735 -0.8497164249420166 -0.49510321021080017,-270.8006799221039 -138.37647438049316 472.2725450992584,-1
1,4,6,1.0,-0.835206151008606 -0.5110424757003784 0.20314136147499084 -0.115385040640831 -0.1983231008052826 -0.9733213186264038 0.5376960635185242 -0.8363633751869202 0.10667401552200317,-106.88868165016174 -171.04467749595642 703.0035853385925,-1
1,4,8,1.0,-0.38099128007888794 -0.4520014226436615 0.8065609335899353 0.40108856558799744 -0.8667964935302734 -0.29629746079444885 0.8330508470535278 0.2106156051158905 0.5115343928337097,-212.84358203411102 -108.96719247102737 524.350643157959,-1
1,5,1,1.0,0.649524450302124 -0.6108277440071106 -0.4527774751186371 -0.32095757126808167 0.31957218050956726 -0.8915491104125977 0.6892780065536499 0.7244054079055786 0.011520154774188995,-242.72502958774567 -137.8316432237625 436.61198019981384,-1
1,5,3,1.0,0.9447342753410339 0.30052444338798523 -0.1310049593448639 -0.18400444090366364 0.8167985081672668 0.5467932224273682 0.2713293731212616 -0.49246883392333984 0.8269553184509277,-52.084632217884064 -100.38060694932938 403.5637378692627,-1
1,5,6,1.0,0.6784454584121704 -0.6999922394752502 0.2229858785867691 -0.2357850968837738 -0.4949422776699066 -0.8363238573074341 0.6957852840423584 0.5148233771324158 -0.500839114189148,-48.40125888586044 -127.07023322582245 587.0022773742676,-1
1,5,8,1.0,-0.3829371929168701 -0.44757381081581116 0.8081068992614746 0.40034347772598267 -0.8687766790390015 -0.29146549105644226 0.8325167298316956 0.21190734207630157 0.5118702054023743,-212.96977996826172 -109.52553153038025 524.1104960441589,-1
1,6,1,1.0,0.6402493715286255 -0.6541526317596436 -0.40269720554351807 -0.2724841237068176 0.29674121737480164 -0.9152579307556152 0.71821528673172 0.6957220435142517 0.011742182075977325,-243.93124878406525 -138.0210816860199 439.72599506378174,-1
